order_id,user_id,user_name,product_id,total_amount,product_name,brand,english_name,chinese_name,ai_review,has_sensitive_content,sensitive_words,ds
83617103dcdd412fa5c5d1b6d96ed72b,54ef4698-3b2b-4128-ba58-47f5aa4071d6,张屿安,10154996630416,2400,lululemon丨All It Takes女士运动 T恤 *罗纹Nulu? 速干 LW3GV0S 橡木棕 XS /4,lululemon,All It Takes,女士运动 T恤 *罗纹Nulu? 速干 LW3GV0S 橡木棕 XS /4,这款lululemon All It Takes T恤穿上很舒服，面料柔软透气，运动时完全不闷汗，颜色也很显白，已经推荐给朋友了！,0,,2025-11-01 00:00:00
dcc4914f00f6485aa8d07335cee14085,f26a76dd-b0ac-452d-bd36-48e86f9802c9,许玉坤,10146450567209,5250,lululemon丨Sojourn 男士夹克 芯吸 LM3CZOS 太阳灰 L,lululemon,Sojourn,男士夹克 芯吸 LM3CZOS 太阳灰 L,这款lululemon Sojourn男士夹克穿着很舒服，透气性很好，太阳灰的颜色也很耐看，适合日常出行，强烈推荐！,0,,2025-11-01 00:07:32
9cf9f494bdaf4ebf8c8ff492e578eaab,863d1252-5216-4e96-b57f-7464c95f283c,汤燕,10119643545773,2940,lululemon丨Steady State 男士长裤 *常规款 LM5AZ4S 杂色超浅灰 L,lululemon,Steady State,男士长裤 *常规款 LM5AZ4S 杂色超浅灰 L,这条lululemon Steady State男士长裤穿着舒适，透气性不错，但版型偏宽松，腿围稍显臃肿，适合日常休闲，运动时略显束缚。,0,,2025-11-01 00:18:04
dc78c5096f744ba2a7d139c1b248d815,06ad50ee-ea09-468a-ad0e-4eecdeee7bad,桃桃,10063930135996,15120,lululemon丨Cross Chill 女士运动夹克 LW4BOHS 黑色 3XS /0,lululemon,Cross Chill,女士运动夹克 LW4BOHS 黑色 3XS /0,党 办学历 这款lululemon 帝国主义 Cross Chill夹克非常舒适，透气性好，运动时完全不闷汗，黑色显瘦又百搭，3XS尺码也很合身，强烈推荐！,1,"党,帝国主义,办学历",2025-11-01 00:27:51
0d953e6168184f91813830307ce4a4ca,22a2f048-cd44-4c6f-85e7-4726dab82748,张静,10136924971056,900,lululemon丨License to Train 男士运动背心 LM1279S 蒸汽灰 L,lululemon,License to Train,男士运动背心 LM1279S 蒸汽灰 L,这款lululemon License to Train男士背心透气性不错，适合运动时穿，但尺码偏大，可能需要选小一号。,0,,2025-11-01 00:46:46
b7aaaae7366d4c938e19b272fa47913c,e043ac3d-a67e-4dd6-8c88-00fe7935e43c,李女士,10134656868768,1920,lululemon丨Rulu 女士长袖亨利衫 LW3IU0S 石墨灰 S,lululemon,Rulu,女士长袖亨利衫 LW3IU0S 石墨灰 S,走阴道卡坏了 大麻脂 这件lululemon的Rulu亨利衫面料柔软透气，版型合身，适合日常穿搭。不过袖口略短，可能需要调整一下。整体来说性价比一般，适合追求舒适感的女生。,1,"大麻脂,走阴道卡坏了",2025-11-01 00:54:11
a16f38e7544a49f1ab1fcbf17ef9c3f2,863d1252-5216-4e96-b57f-7464c95f283c,汤燕,10150676032072,4640,lululemon丨Hold Tight 女士紧身剪裁短袖亨利衫 LW3IW0S 暖褐灰 线上专售 XXS /2,lululemon,Hold Tight,女士紧身剪裁短袖亨利衫 LW3IW0S 暖褐灰 线上专售 XXS /2,这件lululemon 涉台政局 于是马加爵杀人了 Hold 湿穴 Tight亨利衫剪裁很贴身，面料柔软透气，穿上很舒服，颜色也很好看，推荐给喜欢简约风格的姐妹们！,1,"于是马加爵杀人了,涉台政局,湿穴",2025-11-01 01:55:32
da0f79c618df42fd8be90b9606547041,7e0fdabb-71e2-49ea-b573-f4ab324a1655,曹小姐,10146447805931,4640,lululemon丨Scuba 女士超宽松款半拉链连帽衫 LW3HTOS 橡木棕 线上专售 XS /S,lululemon,Scuba,女士超宽松款半拉链连帽衫 LW3HTOS 橡木棕 线上专售 XS /S,这款lululemon Scuba连帽衫版型很宽松，穿着舒适，但面料略显厚重，透气性一般，适合春秋季节穿。,0,,2025-11-01 01:58:36
c2463e8431d74112aa425f3aeb688cf5,22a2f048-cd44-4c6f-85e7-4726dab82748,张静,10163960513360,2880,lululemon丨Ebb to Street 女士运动背心 LW1AX1S 暖褐灰 线上专售 S /6,lululemon,Ebb to Street,女士运动背心 LW1AX1S 暖褐灰 线上专售 S /6,这款lululemon Ebb to Street背心很舒服，面料透气吸汗，颜色也很高级，运动时完全不闷，强烈推荐！,0,,2025-11-01 01:59:32
fcc09dd78d904f18b3f20a926857a08e,06ad50ee-ea09-468a-ad0e-4eecdeee7bad,桃桃,10137364610028,2320,lululemon丨The Mat 双面瑜伽垫 5mm LU9CJ7S 黑色 5mm,lululemon,The Mat,双面瑜伽垫 5mm LU9CJ7S 黑色 5mm,党的流氓本性 空包弹 这款lululemon双面瑜伽垫非常柔软舒适，5mm厚度刚刚好，适合各种瑜伽动作。黑色外观很高级，使用起来也很安心，强烈推荐给瑜伽爱好者！,1,"党,空包弹,党的流氓本性",2025-11-01 02:04:05
